node,year,theta
R12_AFR,2030,21.15961140864787
R12_AFR,2040,35.99974067034923
R12_AFR,2050,44.80272095392972
R12_AFR,2060,52.363902495814976
R12_AFR,2070,66.46384044843576
R12_AFR,2080,81.00101029893226
R12_AFR,2090,88.99182486791082
R12_AFR,2100,96.62307594802184
R12_AFR,2025,19.812073064961925
R12_AFR,2035,28.853567356636642
R12_AFR,2045,40.4553636353073
R12_AFR,2055,48.65632331280221
R12_EEU,2030,1.3314314167909558
R12_EEU,2040,1.5101258112181128
R12_EEU,2050,1.6345665952150632
R12_EEU,2060,1.6907597860945518
R12_EEU,2070,1.7551951705680255
R12_EEU,2080,1.8346007452032354
R12_EEU,2090,1.9552826513029922
R12_EEU,2100,2.033826072980379
R12_EEU,2025,1.1793559289276667
R12_EEU,2035,1.4240885308324387
R12_EEU,2045,1.5858521280870075
R12_EEU,2055,1.6671428620485602
R12_FSU,2030,1.8720089148946897
R12_FSU,2040,2.864308301320424
R12_FSU,2050,3.3993286574613926
R12_FSU,2060,3.008387791550832
R12_FSU,2070,3.4387304502680713
R12_FSU,2080,3.4018094856843173
R12_FSU,2090,3.080980406896347
R12_FSU,2100,2.9733522859292276
R12_FSU,2025,1.680985569516257
R12_FSU,2035,2.342619228380009
R12_FSU,2045,3.124177147894786
R12_FSU,2055,3.2092948392306857
R12_LAM,2030,6.615741469167876
R12_LAM,2040,6.949993319241362
R12_LAM,2050,7.474754356251654
R12_LAM,2060,7.629400998750817
R12_LAM,2070,7.795436861827803
R12_LAM,2080,7.9286149721485035
R12_LAM,2090,8.01571189424671
R12_LAM,2100,8.165525235462468
R12_LAM,2025,6.886029919505356
R12_LAM,2035,6.740167332028744
R12_LAM,2045,7.1647899700651285
R12_LAM,2055,7.512381731998848
R12_MEA,2030,5.783760864881185
R12_MEA,2040,6.224840689429377
R12_MEA,2050,6.945525540306222
R12_MEA,2060,7.828815140096468
R12_MEA,2070,8.573855682104336
R12_MEA,2080,9.216893868606558
R12_MEA,2090,9.558539895925257
R12_MEA,2100,9.816964929309286
R12_MEA,2025,5.770524413658465
R12_MEA,2035,5.996260972144052
R12_MEA,2045,6.542008248903431
R12_MEA,2055,7.357371674835136
